student_id,term_code,org_code,enrollment_status,registered_credit_hours,snapshot_date,source_updated_at
S-1001,FALL25,CS,active,15,09/08/2025,2026-09-01
S-1002,FALL25,BIO,ACTIVE,12,2025-09-08,2026-09-01
S-1003,FALL25,CS,active,9,2025-09-08,2026-09-01
S-1004,FALL25,BUS,withdrawn,3,2025-09-08,2026-09-01
S-1005,FALL25,BUS,active,12,2025-09-08,2026-09-01
S-1006,FALL25,CS,active,9,2025-09-08,2026-09-01
S-1001,SPRING26,CS,active,15,01/27/2026,2026-09-01
S-1002,SPRING26,BIO,ACTIVE,12,2026-01-27,2026-09-01
S-1003,SPRING26,CS,active,9,2026-01-27,2026-09-01
S-1005,SPRING26,BUS,active,12,2026-01-27,2026-09-01
S-1006,SPRING26,CS,withdrawn,3,2026-01-27,2026-09-01
S-1007,SPRING26,BIO,active,12,2026-01-27,2026-09-01
S-1001,FALL26,CS,active,15,09/07/2026,2026-09-01
S-1002,fall26,bio,ACTIVE,12,2026-09-07,2026-09-01
S-1003, FALL26 ,CS,active,9,2026-09-07,2026-09-01
S-1004,FALL26,BUS,withdrawn,3,2026-09-07,2026-09-01
S-1005,FALL26,BUS,active,12,2026-09-07,2026-09-01
S-1007,FALL26,BIO,active,12,2026-09-07,2026-09-01
S-1008,FALL26,CS,active,15,2026-09-07,2026-09-01
