student_key,term_code,org_code,enrollment_status,registered_credit_hours,snapshot_date,source_updated_at
STU-1ed17bf3d4e8353d,FALL25,CS,Active,15.0,2025-09-08,2026-09-01
STU-cb2bc62a772a2544,FALL25,BIO,Active,12.0,2025-09-08,2026-09-01
STU-af27fdd935de0143,FALL25,CS,Active,9.0,2025-09-08,2026-09-01
STU-495734c74095a53c,FALL25,BUS,Withdrawn,3.0,2025-09-08,2026-09-01
STU-f47c772dc97929d4,FALL25,BUS,Active,12.0,2025-09-08,2026-09-01
STU-9ea9f6f205595076,FALL25,CS,Active,9.0,2025-09-08,2026-09-01
STU-1ed17bf3d4e8353d,SPRING26,CS,Active,15.0,2026-01-27,2026-09-01
STU-cb2bc62a772a2544,SPRING26,BIO,Active,12.0,2026-01-27,2026-09-01
STU-af27fdd935de0143,SPRING26,CS,Active,9.0,2026-01-27,2026-09-01
STU-f47c772dc97929d4,SPRING26,BUS,Active,12.0,2026-01-27,2026-09-01
STU-9ea9f6f205595076,SPRING26,CS,Withdrawn,3.0,2026-01-27,2026-09-01
STU-67cd50d4d710046c,SPRING26,BIO,Active,12.0,2026-01-27,2026-09-01
STU-1ed17bf3d4e8353d,FALL26,CS,Active,15.0,2026-09-07,2026-09-01
STU-cb2bc62a772a2544,FALL26,BIO,Active,12.0,2026-09-07,2026-09-01
STU-af27fdd935de0143,FALL26,CS,Active,9.0,2026-09-07,2026-09-01
STU-495734c74095a53c,FALL26,BUS,Withdrawn,3.0,2026-09-07,2026-09-01
STU-f47c772dc97929d4,FALL26,BUS,Active,12.0,2026-09-07,2026-09-01
STU-67cd50d4d710046c,FALL26,BIO,Active,12.0,2026-09-07,2026-09-01
STU-869d3b80d0c479f6,FALL26,CS,Active,15.0,2026-09-07,2026-09-01
